,1940,1950,1960,1970,1980,1990,2000,2010
mn0000092226,,,,,,0.00975609756097561,0.009126466753585397,0.009779951100244499
mn0000793821,,,,,0.7,0.7428571428571429,0.675,0.6976744186046512
mn0000104714,,,,-0.00823529411764706,0.03823088455772114,0.061530765382691345,0.06948757763975155,0.07378854625550661
mn0000205313,,,,,-0.010135135135135136,0.0,0.002540220152413209,0.0015822784810126582
mn0000896965,,,,,,,,
mn0000894531,,0.011904761904761904,0.005988023952095809,0.010050251256281407,0.018518518518518517,0.01694915254237288,0.019011406844106463,0.01845018450184502
mn0000358408,,,,,0.0,0.13901345291479822,0.172,0.17391304347826086
mn0000671588,,,,,-0.016194331983805668,-0.023837902264600714,-0.015985790408525755,-0.014563106796116505
mn0000230590,,,,,0.0,-0.016260162601626018,-0.04054054054054054,-0.032467532467532464
mn0000129775,,,-0.03146853146853147,-0.022429906542056073,-0.011826544021024968,0.011066398390342052,0.014821272885789015,0.015939597315436243
mn0000107863,,,,,0.043478260869565216,0.037037037037037035,0.02824858757062147,0.02717391304347826
mn0000782191,,,,,0.005376344086021506,0.04105571847507331,0.029045643153526972,0.027829313543599257
mn0001275845,,,,,,,,
mn0000799198,,,,,-0.027918781725888325,-0.019169329073482427,-0.00554016620498615,-0.002702702702702703
mn0000831104,,,,,-0.008027522935779817,-0.006711409395973154,-0.004678362573099415,-0.0027188689505165853
mn0000740131,,,,,,,0.0002754062241806665,0.00025746652935118434
mn0000145128,,,,,-0.007308970099667774,-0.003589053387169134,0.000982961992136304,0.003094059405940594
mn0000066915,,,-0.060294117647058824,0.007454739084132056,0.05760963026655202,0.10537334263782275,0.14876507754164273,0.15346260387811633
mn0000924508,,,,,-0.0006640106241699867,-0.002699055330634278,-0.0030191211003019122,-0.00288
mn0000198480,,,-0.006134969325153374,-0.006952491309385863,-0.0057283142389525366,-0.004507042253521127,-0.005148005148005148,-0.0032626427406199023
mn0000754032,,,-0.05112219451371571,0.021462639109697933,0.09389952153110048,0.18957771787960467,0.22040208488458674,0.2238966630785791
mn0000270491,,,-0.020134228187919462,-0.021158129175946547,-0.014655172413793103,0.0033222591362126247,0.034736842105263156,0.03894790085988872
mn0000182900,,,-0.005547850208044383,-0.00502092050209205,-0.004201680672268907,-0.0035026269702276708,0.0,0.005301524188204109
mn0000379125,,,-0.005707762557077625,-0.016618497109826588,-0.025329815303430078,-0.015714833269451896,-0.004236006051437216,0.0005813953488372093
mn0000019892,,,,,,-0.0009732360097323601,-0.0010256410256410256,-0.0006367398917542184
mn0000131581,,,-0.007017543859649123,-0.012833168805528134,-0.01078894133513149,-0.007600950118764846,-0.007293946024799417,-0.006610995128740431
mn0000204386,,,-0.008912655971479501,-0.011351909184726523,-0.009365994236311239,-0.004515805318615153,-0.0034535686876438986,-0.0007347538574577516
mn0000038936,,-0.020833333333333332,-0.029503105590062112,-0.02001906577693041,-0.019768234492160874,-0.01708150317227916,-0.00909435392194013,-0.008345428156748911
mn0000029791,,,,,,-0.002785515320334262,-0.0003661662394727206,-0.00035198873636043646
mn0000233066,,,0.0,0.0018365472910927456,0.014184397163120567,0.01657142857142857,0.02504725897920605,0.027879341864716637
mn0000058549,,,,-0.0023584905660377358,-0.012161415146489774,-0.007550018875047188,-0.0017187052420509883,0.0002735229759299781
mn0000037931,,,,,0.004132231404958678,0.005050505050505051,0.003169572107765452,0.0030721966205837174
mn0000505532,,,-0.030575539568345324,-0.025974025974025976,-0.023784901758014478,-0.01718494271685761,-0.011386470194239785,-0.01034928848641656
mn0000899530,,,,,-0.00997506234413965,-0.013091216216216216,-0.0072992700729927005,-0.004
mn0000531986,,,-0.0016207455429497568,-0.05877680698967434,-0.0652496292634701,-0.04435092262868242,-0.02825932082640703,-0.023114901256732497
mn0000610706,,,-0.00234192037470726,-0.004016064257028112,-0.002631578947368421,-0.00117096018735363,-0.0013094718463553033,-0.0012536564981195152
mn0000219203,,,,,-0.0025497195308516064,0.004039044092898014,0.012298046780805401,0.013238986532755079
mn0000467382,,,,,,-0.002641310089804543,-0.0011824990145841545,-0.0011295180722891566
mn0000796734,,,-0.00725689404934688,-0.009450171821305841,-0.006723716381418093,-0.0008616975441619991,0.0,0.000630119722747322
mn0000144847,,,,-0.009111617312072893,-0.0030464584920030465,-0.0025575447570332483,-0.004618937644341801,-0.0018328445747800588
mn0000229348,,,,,-0.0012970168612191958,-0.0008396305625524769,0.0002920560747663551,0.00027570995312930797
mn0000784732,,,,-0.0017331022530329288,-0.0037105751391465678,-0.002224199288256228,-0.001391304347826087,-0.0020060180541624875
mn0000325459,,,,,-0.02249134948096886,-0.021433850702143386,-0.014355293514483466,-0.012512030798845043
mn0000130115,,,-0.016791044776119403,-0.012129380053908356,-0.009857612267250822,-0.007213706041478809,-0.006074411541381929,-0.005135730007336757
mn0000031685,,-0.011494252873563218,-0.014900662251655629,-0.014042126379137413,-0.010917030567685589,-0.006856540084388186,-0.003808717731696995,-0.0020242914979757085
mn0000265514,,,,,,,,
mn0000798606,,,,,-0.0037267080745341614,0.0007027406886858749,0.012903225806451613,0.01598962834917891
mn0000474482,,,,,-0.0165016501650165,-0.013347022587268994,-0.010638297872340425,-0.009536784741144414
mn0003145094,,,,,,,,
mn0000795341,,,,-0.0015151515151515152,-0.0037002775208140612,0.0,0.00224517287831163,0.004608294930875576
mn0000478426,,,,,-0.00530705079605762,-0.001059322033898305,0.0069786535303776685,0.0109717868338558
mn0003760397,,,,,,,,
mn0000420055,,,,,,,,
mn0000475362,,,,0.004830917874396135,-0.005361930294906166,-0.0033277870216306157,0.005753739930955121,0.01900739176346357
mn0000673517,,,-0.0013698630136986301,-0.01348314606741573,-0.013197969543147208,-0.009786154403769481,-0.007867378477100308,-0.007252215954875101
mn0000894465,,,-0.07990012484394507,-0.05778491171749599,-0.0323785803237858,0.005763688760806916,0.030012004801920768,0.03436293436293436
mn0000120521,,0.0,0.007194244604316547,0.038238702201622246,0.04320337197049526,0.04948646125116713,0.051011433597185574,0.051259774109470024
mn0000799053,,,-0.0237741456166419,-0.015223596574690771,-0.009200283085633405,-0.007808433107756377,-0.0033542976939203353,-0.0020218358269308533
mn0000100160,,,-0.1266540642722117,-0.12758620689655173,-0.12155172413793103,-0.10012836970474968,-0.059416445623342175,-0.055612770339855816
mn0000354105,,,-0.07109004739336493,-0.06789755807027993,-0.04993252361673414,-0.04043865661411926,-0.02903967797584819,-0.025883662677428334
mn0000577627,,,-0.07012987012987013,-0.08814352574102964,-0.08136180034622043,-0.06627017841971113,-0.051741630030436254,-0.05053798500163026
mn0000139026,,,-0.025,-0.04485294117647059,-0.022175290390707498,-0.009531374106433678,0.0012919896640826874,0.0030883261272390363
