,1940,1950,1960,1970,1980,1990,2000,2010
mn0003659412,,,,,,,,0.0
mn0000570825,,,,0.0004846806300848191,0.0005856515373352855,0.0005229765623924801,0.0005489409225993299,0.000547573726891085
mn0000840402,,,0.0012289816211384838,0.00463908603081184,0.005766415136839734,0.0050233275071909275,0.0045051013647807074,0.004371898168670091
mn0000922200,,,,,0.00022525059128280213,0.00027525082231183163,0.00033125745329269906,0.00031289927250919143
mn0000073421,,,,0.0,0.0002027255321545219,0.00020643811673387374,0.0003596509492892161,0.0004345823229294325
mn0000020278,,,,0.00017310022503029253,0.000427976123437324,0.0004541638568145222,0.00034072195195820475,0.0003302825654263687
mn0000108826,,0.0020709293295366298,0.002960728450924529,0.002042582655357452,0.0013515035476968128,0.0008395150080510866,0.0006151924132578697,0.0005736486662668509
mn0000212612,,0.0012943308309603934,0.0007262164124909223,0.0005193006750908776,0.0003378758869242032,0.0002339631989650569,0.00017982547464460806,0.00016514128271318435
mn0000238115,,0.004271291742169298,0.005865594100888219,0.004604465985805782,0.003288658632728911,0.002243294201841428,0.0017793257491150695,0.0017035627058833755
mn0000144458,,0.0005177323323841574,0.001620021227864365,0.0018002423403150425,0.0015091789615947742,0.00139001665267475,0.001211455829184728,0.0011646806254508792
mn0000457807,,,0.00011172560192168035,0.00017310022503029253,0.00011262529564140106,6.881270557795791e-05,7.57159893240455e-05,6.953317166870921e-05
mn0000838195,,,0.0,0.00017310022503029253,0.00011262529564140106,6.881270557795791e-05,4.7322493327528444e-05,4.345823229294325e-05
mn0000081194,,0.0005177323323841574,0.001005530417295123,0.0007962610351393457,0.0006081765964635657,0.0004541638568145222,0.0003123284559616877,0.00028682433313342544
mn0000316834,,0.0005177323323841574,0.0024579632422769677,0.002665743465466505,0.002748057213650186,0.002504782483037668,0.0021768346930663082,0.002085995150061276
mn0000821571,,0.0011648977478643542,0.0024579632422769677,0.002250302925393803,0.0018470548485189774,0.0012661537826344257,0.0009369853678850631,0.000869164645858865
mn0000931220,,,,,0.0,0.0,0.0,0.0
mn0000753685,,,0.0008938048153734428,0.0012117015752120478,0.0009685775425160491,0.0007156521380107623,0.0006625149065853981,0.0006431818379355602
mn0000943268,,,,0.00013848018002423403,0.00011262529564140106,0.00013762541115591582,9.464498665505689e-05,9.560811104447515e-05
mn0000561106,,,,0.0,2.2525059128280213e-05,2.7525082231183165e-05,2.8393495996517066e-05,2.607493937576595e-05
mn0000217488,,,,,,0.0,0.0,0.0
mn0000041874,,,0.004413161275906374,0.004604465985805782,0.004347336411758081,0.004486588403682856,0.004580817354104753,0.004424048047421623
mn0000051992,,,,0.0007616409901332872,0.002027255321545219,0.002477257400806485,0.0022052281890628253,0.0020773035036026873
mn0000738385,,,,,,,0.0,0.0
mn0000079016,0.010063737001006373,0.0078954180688584,0.005139377688397296,0.0037043448156482603,0.0026354319180087846,0.0019955684617607794,0.001788790247780575,0.0017557125846349073
mn0000758601,,,0.0002234512038433607,0.00020772027003635105,0.00013515035476968128,0.00012386287004032424,0.000151431978648091,0.00014775798979600705
mn0000589209,,,,,,0.0,9.464498665505687e-06,8.691646458588651e-06
mn0000256349,0.0020127474002012745,0.0020709293295366298,0.001284844422099324,0.0009001211701575212,0.0007883770694898074,0.0005780267268548465,0.00046376043460977874,0.00042589067647084386
mn0001851330,,,,,,0.0,0.0,0.0
mn0000092314,,,,,,1.3762541115591582e-05,9.464498665505687e-06,8.691646458588651e-06
mn0000171728,0.0006709158000670916,0.0006471654154801967,0.0002793140048042009,0.00017310022503029253,0.00011262529564140106,8.25752466935495e-05,5.678699199303413e-05,5.21498787515319e-05
mn0000103748,0.004025494800402549,0.0019414962464405902,0.001005530417295123,0.0006577808551151117,0.00047302624169388445,0.00030277590454301485,0.00020821897064112515,0.00019990786854753897
mn0000609215,0.005367326400536733,0.0023297954957287085,0.001005530417295123,0.0006231608101090532,0.0004054510643090438,0.0002477257400806485,0.00017982547464460806,0.00016514128271318435
mn0000225176,0.0013418316001341832,0.0005177323323841574,0.0002234512038433607,0.00017310022503029253,0.00013515035476968128,8.25752466935495e-05,5.678699199303413e-05,5.21498787515319e-05
mn0000109607,0.005031868500503187,0.0027180947450168263,0.0015082956259426848,0.0013155617102302234,0.0009460524833877689,0.0006881270557795792,0.0004826894319407901,0.0004432739693880212
mn0002335642,,,,,,,,0.0
mn0000120010,,,,,,1.3762541115591582e-05,0.00017982547464460806,0.00022598280792330492
mn0000239827,,,,,,1.3762541115591582e-05,0.00026500596263415925,0.0004432739693880212
mn0000221059,,,,,,0.0,9.464498665505689e-05,0.00013037469687882976
mn0001873598,,,0.0,0.0,0.0,0.0,0.0,0.0
