,1940,1950,1960,1970,1980,1990,2000,2010
mn0000092226,,,,,3.078586874660647e-05,5.623353597983715e-05,5.054420287982508e-05,4.755811193385301e-05
mn0000793821,,,,4.876256258614873e-05,9.909099036875216e-05,0.000153713903525046,0.00013868328528028528,0.00014737392835466898
mn0000104714,,,,0.0006285554959981652,0.0015055016682529922,0.002003808115953383,0.0020960543394312288,0.0021833397920768827
mn0000205313,,,,,8.552130659900028e-05,0.0003293298110748062,0.00029999571619024427,0.0003103806182244374
mn0000896965,,,,5.2130403062014345e-05,5.228738756412383e-05,4.500455672134179e-05,4.099424262232471e-05,3.841483756263422e-05
mn0000894531,,0.00020563893761714916,9.48673581837391e-05,6.212036224975475e-05,4.4765706927631494e-05,2.7397696700185355e-05,1.835802471080789e-05,1.6338071701265278e-05
mn0000358408,,,,,0.0004232675701797971,0.0009681910847536216,0.0009888944665274624,0.0010292844547697408
mn0000671588,,,,,9.197960773868511e-05,0.00021795573737163314,0.00021469259446236518,0.00021610566037152043
mn0000230590,,,,4.876256258614873e-05,3.638281333355947e-05,4.702633469334333e-05,4.8479345997297315e-05,5.23995170345701e-05
mn0000129775,,,0.00017433357147807386,0.00039424706013612006,0.0008748390102516325,0.0012691784373306584,0.0012220473261543505,0.0012482651751000299
mn0000107863,,,,,3.8893198281780137e-05,4.366367308108828e-05,3.7532787421890033e-05,3.656697929419542e-05
mn0000782191,,,,,6.791435492599963e-05,0.00014780295074663096,0.000120894011720941,0.00012473527290261468
mn0001275845,,,,,3.266104481627279e-05,2.792034116204693e-05,2.185496913388617e-05,1.9410062130928974e-05
mn0000799198,,,,,0.00019118485431280144,0.0004351653862482162,0.00048744107667993424,0.0005173849344591799
mn0000831104,,,,,6.801186835450524e-05,0.0003080405076206832,0.0002853253688420113,0.00029111448546879855
mn0000740131,,,,,,,1.378497001339852e-05,1.2126935004556627e-05
mn0000145128,,,,4.876256258614873e-05,0.00018728207419929006,0.0002529830176242728,0.00036944023890196187,0.0003710642960752152
mn0000066915,,,0.0030639688676354416,0.004242679350542441,0.004723339474835949,0.004829644487597011,0.0051607169419381005,0.005162121615414858
mn0000924508,,,,,3.4157062095889715e-05,4.465068863214355e-05,4.5262562228268595e-05,4.1637986679635844e-05
mn0000198480,,,9.667749320478925e-05,7.949531403160317e-05,6.198388267410325e-05,0.00011281021689707221,0.00012691241688932283,0.00028136836120791405
mn0000754032,,,0.006801517427076634,0.008555656116421511,0.00913007943766767,0.009082475644454736,0.008866117489844099,0.008675132534783863
mn0000270491,,,0.00022206004790545803,0.0003609298678424486,0.0005019375150866631,0.0006503181103066149,0.000815940644854678,0.0009905193721866743
mn0000182900,,,0.00012921006721057436,0.00015802549147608428,0.00019216878597239418,0.00017847732574295626,0.00024078590193067357,0.0004313295360165996
mn0000379125,,,0.00011268775056360644,0.00024638281514559123,0.0006170246357791806,0.001041679357691987,0.001383115501432904,0.001359348508811956
mn0000019892,,,,,3.078586874660647e-05,2.769453845691504e-05,4.700550983475814e-05,4.8352468660487074e-05
mn0000131581,,,0.00011023329658512587,0.00019066357360544704,0.00016768081941044138,0.00013916866085866053,0.00015553971843503594,0.0001634599021298855
mn0000204386,,,0.00011277578836885627,0.00011584250259648244,0.00015616891904455155,0.00019790374522744622,0.00024499186784850255,0.00025115953483684765
mn0000038936,,0.00019426888396593977,0.0005737674766322846,0.0004685856895409701,0.00042377792037478785,0.0003908856310143556,0.0004244467141594067,0.0004345496688978169
mn0000029791,,,,4.876256258614873e-05,3.078586874660647e-05,3.700363176656148e-05,5.203260327897504e-05,5.109804585171097e-05
mn0000233066,,0.0001602216744534919,0.00012257021838420461,0.00023225742532409748,0.0004736332801254269,0.000457541188241199,0.0005249165012829088,0.0006611665926336658
mn0000058549,,,,0.00013176795133140452,0.00021759951485213056,0.0004641484085946189,0.000540572221809719,0.000523070745028568
mn0000037931,,,,,3.95366904050493e-05,2.5743408924084306e-05,1.6902794245539023e-05,1.4869906643970786e-05
mn0000505532,,,0.0002467607091649353,0.0002117063777146088,0.00019502477848313656,0.00018809678488829418,0.00020844442830749877,0.00020359439456384457
mn0000899530,,,,,0.00015940190084905053,0.0004095202176791422,0.0007052214250832976,0.0007543791337574991
mn0000531986,,,0.00023399137005191965,0.0012262567838974175,0.0019564627591777024,0.002121166968178378,0.002475306830477174,0.00253036707161801
mn0000610706,,,9.48673581837391e-05,6.47133468903371e-05,5.022895103939706e-05,4.2218241030575315e-05,3.558727987347497e-05,3.175836307889316e-05
mn0000219203,,,,4.876256258614873e-05,0.00025033332186952657,0.00036080390026410234,0.0006141163548725085,0.0005819229186828327
mn0000467382,,,,,3.078586874660647e-05,3.123735036286638e-05,3.296385521992641e-05,2.9012436751190094e-05
mn0000796734,,,0.0001207808084707375,0.00019540325301641362,0.0002597374345972858,0.00032808395384513564,0.0003869999801318954,0.00040604940989892065
mn0000144847,,,,0.00010062903684994083,0.00017544191296560793,0.00017749732001426963,0.00017347554681315812,0.00017827890723195956
mn0000229348,,,,,4.344792892000194e-05,3.869773507238479e-05,4.370981301535239e-05,3.94182204838705e-05
mn0000784732,,,,5.472776817755174e-05,4.191438591725032e-05,6.758494647975603e-05,6.545181978539336e-05,6.83913029500226e-05
mn0000325459,,,,,0.0005456157149719894,0.0008779786185740385,0.0008216778816121245,0.0007927718341769919
mn0000130115,,,0.00016996944195181126,0.00012865473707385846,0.00011543521730319496,0.00011458146394404633,0.0001322396439305306,0.0001345347096944271
mn0000031685,,0.00017059292301565936,0.00018521397312708663,0.0001919368560204847,0.00018422214140211297,0.00020901100114370364,0.0002956334191815813,0.0003379315140026838
mn0000265514,,,,,,1.7207217217949824e-05,1.0744059408030193e-05,9.451615888813151e-06
mn0000798606,,,,,6.89914566439685e-05,0.00035731914701004377,0.0005960502299096973,0.0005720202187394303
mn0000474482,,,,,0.00012258393031852613,0.00016487961454727962,0.00019645370811027218,0.00018860627612202316
mn0003145094,,,,,,,,9.451615888813151e-06
mn0000795341,,,,5.395726245532885e-05,4.4703589365559234e-05,0.0001103396906994225,0.00011507331883989231,0.00013350116453468948
mn0000478426,,,,4.876256258614873e-05,0.00013559338655162915,0.00014675693721368546,0.00020699198084292648,0.0002359863524435518
mn0003760397,,,,,,,,9.451615888813151e-06
mn0000420055,,,,,,,1.3560233946370083e-05,1.712096203744461e-05
mn0000475362,,,,5.2540526127370635e-05,5.5541239748627474e-05,8.372466502877731e-05,0.00013455943838692642,0.00018029183710553792
mn0000673517,,,8.771637624160972e-05,0.00029027850924469653,0.00046405746482321944,0.0005440541539110372,0.0006242673042615729,0.0006193951868101271
mn0000894465,,,0.002341678434154539,0.0033905955339025066,0.003859133429942173,0.003836840158431491,0.003915627947336235,0.0038423028803502455
mn0000120521,,0.001239543496180867,0.002849374873973322,0.0035890293293150584,0.003963010239038398,0.003947700361486034,0.003978867714454691,0.0039108786479230715
mn0000799053,,,0.00036801011140398374,0.0004420841475727966,0.0004173852152529328,0.00037941610635557315,0.0004706523853287671,0.0004697922648890369
mn0000100160,,,0.0010363442384004461,0.0017786908349838786,0.0022357554166681213,0.002483065182590744,0.00272021291774937,0.0026796796921421525
mn0000354105,,,0.0015304907060493325,0.002414894689394228,0.0030114071119554924,0.003138716599157631,0.0031028391784694667,0.0030830290021128482
mn0000577627,,,0.0008340071235384462,0.0014668578052547646,0.001995868095638713,0.0026707685038330907,0.002698678496763587,0.0026181871842944873
mn0000139026,,,0.00041557075806102897,0.0008171865955131429,0.0014543314765648949,0.001551253593454582,0.0016000686304943042,0.0015449833531637695
mn0000180228,,0.0026365349975639553,0.0038990775106725177,0.004062522245677618,0.003875925345344542,0.0034294256177912455,0.0032572170907561376,0.0032021713403710987
mn0000099561,,,0.0002040205530423324,0.00027472798146773526,0.00028483869694184423,0.0002669586264943503,0.0002899167009393077,0.00027939447880653443
mn0000840402,,,0.0002726567144248091,0.0013512656548152855,0.002392076859959014,0.0030765280346513922,0.00359697947975462,0.0038587431214421875
mn0000489303,,,0.0010848629244539978,0.0013442231164904185,0.0016036613434759585,0.0015385720173336176,0.0015436666736485017,0.0014913341636543524
mn0000824022,,0.001003396991316467,0.0020758644044888263,0.0025671652778221973,0.002862624656917154,0.002878002832353033,0.0029440482108082262,0.0029343230581771653
mn0000925188,,,,,,2.808851653565971e-05,4.243968884459851e-05,7.489359322602724e-05
mn0000292019,,,,,,4.408412739137478e-05,3.706062915595494e-05,4.3802617885864135e-05
mn0000087083,,,,,5.602176203778906e-05,0.0001596926735950166,0.00014412528116246494,0.000156017076846701
mn0000283139,,,,,4.699930569989497e-05,5.130503187851836e-05,3.584151637215166e-05,3.821138055440246e-05
mn0000617196,,,,0.00048115419797153903,0.0010035085683776346,0.0015301783546861842,0.0018802473746353347,0.0019385861701036926
mn0001680388,,,,,,,1.0744059408030193e-05,9.451615888813151e-06
mn0001400354,,,,,,,1.9866791224135177e-05,1.7477573236043582e-05
mn0000543084,,,,,,,1.0744059408030193e-05,9.451615888813151e-06
mn0000762885,,,,,,,4.149227489832909e-05,4.0813394807879664e-05
mn0000932665,,,,,,3.845619785483363e-05,0.00012141615101301565,0.00012437918717603404
mn0000616296,,,,,,,1.9796496678815926e-05,1.822022384193011e-05
mn0000098580,,,,,,,1.0744059408030193e-05,9.451615888813151e-06
mn0000493848,,,,,,0.00017126584768389734,0.00030660448112752474,0.00032765491421090883
mn0003624307,,,,,,,,9.451615888813151e-06
mn0000005307,,,,,,1.929771314598276e-05,4.44247598643152e-05,7.83171488328094e-05
